portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,A
Optimal Portfolio no_short,0.13706014944817113,0.025749609638730315,0.16046684903346958,1.0000000000000009,1.0000000000000009,1.0000000000000009,0.0,,Infinity US 500 Stock Index SGD (65.52%); Blackrock World Gold Fund A2 SGD-H (34.48%),N/A,True,0.9146831739248791,0.12418534462880597,-0.22356968691612766,0.0,0.0,0.0,0.0,0.0,0.6551504518236247,5.228015912991183e-16,2.4519210821422186e-16,0.0,0.3448495481763754,1.0
Optimal Portfolio no_short,0.1369942647465831,0.025618492568145367,0.16005777884297084,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Infinity US 500 Stock Index SGD (65.75%); Blackrock World Gold Fund A2 SGD-H (34.25%),N/A,True,0.9116355236954484,0.12405692599966969,-0.22330208774579752,0.0,0.0,0.0,9.663580225526562e-17,0.0,0.6575407657290603,1.618068669044824e-17,0.0,1.291773661096645e-17,0.3424592342709399,1.01
Optimal Portfolio no_short,0.136929672697945,0.025491214494302604,0.15965968337154687,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Infinity US 500 Stock Index SGD (65.99%); Blackrock World Gold Fund A2 SGD-H (34.01%),N/A,True,0.9086476681370766,0.12392915330585068,-0.22303988750737647,0.0,0.0,1.8865150253867627e-17,0.0,1.9152793204523623e-19,0.6598841818532735,9.266259990578184e-18,0.0,0.0,0.34011581814672676,1.02
Optimal Portfolio no_short,0.1368663316144409,0.025367619185905913,0.15927215445866835,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (66.22%); Blackrock World Gold Fund A2 SGD-H (33.78%),N/A,True,0.9057176788828041,0.12380200773369934,-0.22278290847610882,0.0,0.0,0.0,1.0961785985063711e-17,2.5014062585857067e-17,0.6621822126409381,3.89262309301052e-18,8.061005978757158e-18,4.484751367942835e-17,0.3378177873590619,1.03
Optimal Portfolio no_short,0.13680420938222676,0.025247573440499483,0.15889485026425332,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (66.44%); Blackrock World Gold Fund A2 SGD-H (33.56%),N/A,True,0.9028440704320261,0.12367547119316703,-0.22253101225745298,2.6982675193065083e-17,6.419472118554864e-18,0.0,1.9145230531509317e-17,0.0,0.6644360231905679,0.0,1.6853688235007424e-17,0.0,0.3355639768094322,1.04
Optimal Portfolio no_short,0.13674327417085508,0.025130948357151094,0.15852743723769427,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (66.66%); Blackrock World Gold Fund A2 SGD-H (33.34%),N/A,True,0.900025370393302,0.12354952628335075,-0.22228406202628437,5.794246642475224e-18,0.0,4.320568703633021e-17,8.264079037254565e-19,2.6030174571908027e-18,0.6666467683189788,1.1740933418110967e-17,1.743680295239446e-18,0.0,0.33335323168102116,1.05
Optimal Portfolio no_short,0.13668348323256085,0.025017598061464322,0.15816952317518165,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Infinity US 500 Stock Index SGD (66.88%); Blackrock World Gold Fund A2 SGD-H (33.12%),N/A,True,0.8972596013692603,0.12342415625998476,-0.22204187715522894,3.284549280172343e-17,0.0,4.6061038031158316e-17,0.0,0.0,0.6688159989260704,0.0,0.0,3.381251127666956e-17,0.3311840010739297,1.06
Optimal Portfolio no_short,0.13662481417357986,0.02490741900714437,0.1578208446535006,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (67.09%); Blackrock World Gold Fund A2 SGD-H (32.91%),N/A,True,0.8945457274842096,0.12329934500475762,-0.22180435988404745,0.0,3.377358115130113e-18,0.0,2.496954623635139e-17,2.0667996663127688e-17,0.6709445274633652,0.0,1.9546742170465953e-17,0.0,0.32905547253663486,1.07
Optimal Portfolio no_short,0.13656722975851832,0.024800282892938025,0.15748105566365125,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,Infinity US 500 Stock Index SGD (67.30%); Blackrock World Gold Fund A2 SGD-H (32.70%),N/A,True,0.8918820263283402,0.12317507699633178,-0.2215713527179899,1.4885611172705127e-17,4.897171241394248e-17,0.0,0.0,1.6596014269135046e-17,0.6730337048405175,8.457945245745894e-18,1.2354465431781433e-17,0.0,0.3269662951594826,1.08
Optimal Portfolio no_short,0.1365107024700872,0.02469608291215897,0.15714987404436243,1.0,1.0,1.0,0.0,,Infinity US 500 Stock Index SGD (67.51%); Blackrock World Gold Fund A2 SGD-H (32.49%),N/A,True,0.8892672250253982,0.12305133728296057,-0.22134273787260905,4.3508278043201496e-17,0.0,0.0,0.0,4.602629111931465e-17,0.6750845293918447,0.0,0.0,2.8246711327611184e-17,0.32491547060815534,1.09
