portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return unconstrained_short,0.02027042860571793,2.3434977925152362e-05,0.004840968696981252,1.0000000000000002,1.0910088443739074,1.1820176887478147,0.09100884437390727,0.020270428606372667,LionGlobal SGD Money Market A Acc SGD (63.49%); United SGD Fund B Acc SGD (43.59%); Infinity US 500 Stock Index SGD (1.59%),United High Grade Corporate Bond A Acc SGD (-4.76%); AB FCP I Global High Yield A2 SGD-H (-3.21%); Schroder ISF Asian Opportunities A Acc SGD (-0.84%),False,0.29001797279886044,,-0.002972239761655726,0.6349358037607802,0.43585419499006395,-0.047607745440958776,-0.03206732627036359,0.00022042110679526973,0.015918648332162316,-0.0007651259242867563,-0.008424184207776294,0.004079776184105563,-0.002144462530521843,unconstrained_short
Target Return unconstrained_short,0.03032370661367212,7.60285236875443e-05,0.008719433679290433,0.9999999999999997,1.215094555421408,1.4301891108428169,0.21509455542140843,0.030323706613795055,LionGlobal SGD Money Market A Acc SGD (58.65%); United SGD Fund B Acc SGD (50.32%); Infinity US 500 Stock Index SGD (4.39%),AB FCP I Global High Yield A2 SGD-H (-11.19%); United High Grade Corporate Bond A Acc SGD (-5.67%); First Sentier Global Property Securities A Acc SGD (-3.40%),False,0.3563824461868439,,-0.0033253398860441097,0.586508787405545,0.5031973910192807,-0.05668470725330504,-0.11186824448014783,0.03303639999891214,0.043853084107661616,0.040498173544762525,-0.012548201619475431,-0.033993402068480144,0.008000719345246234,unconstrained_short
Target Return unconstrained_short,0.0403769846210942,0.00022205191515501358,0.014901406482443648,1.0000000000000002,1.3448156943175438,1.6896313886350873,0.3448156943175436,0.04037698462121744,United SGD Fund B Acc SGD (58.51%); LionGlobal SGD Money Market A Acc SGD (54.33%); Infinity US 500 Stock Index SGD (11.90%),AB FCP I Global High Yield A2 SGD-H (-15.68%); United High Grade Corporate Bond A Acc SGD (-10.66%); First Sentier Global Property Securities A Acc SGD (-6.93%),False,0.3660523758192832,,-0.007374526021211358,0.5432971499846273,0.5851248796368241,-0.10658762465563325,-0.15677899061360334,0.05803423350166413,0.11901143773945992,0.022230457723996032,-0.012157312941958116,-0.0692917661063489,0.01711753573097217,unconstrained_short
Target Return unconstrained_short,0.05043026263100864,0.0004162709903446977,0.020402720170229698,1.0,1.6708260816292202,2.34165216325844,0.6708260816292201,0.05043026262863984,United SGD Fund B Acc SGD (136.70%); Infinity US 500 Stock Index SGD (14.58%); Amova Singapore Equity SGD (formerly Nikko AM) (7.99%),AB FCP I Global High Yield A2 SGD-H (-26.25%); United High Grade Corporate Bond A Acc SGD (-16.77%); LionGlobal SGD Money Market A Acc SGD (-11.94%),False,0.42040580296064833,,-0.013434643766953247,-0.11935814876440683,1.3669726470330912,-0.1676657338053053,-0.26246916353013056,0.07991165358050996,0.14581898838962648,0.05835455932774458,-0.03585942337209785,-0.08547361215727954,0.019768233298248023,unconstrained_short
Target Return unconstrained_short,0.06048354063640155,0.0006958482122280765,0.026378935009360716,1.0000000000000002,2.177766815681609,3.3555336313632176,1.1777668156816088,0.060483540636062226,United SGD Fund B Acc SGD (178.12%); Infinity US 500 Stock Index SGD (18.99%); Amova Singapore Equity SGD (formerly Nikko AM) (10.43%),LionGlobal SGD Money Market A Acc SGD (-45.88%); AB FCP I Global High Yield A2 SGD-H (-34.17%); United High Grade Corporate Bond A Acc SGD (-21.74%),False,0.4207418197296451,,-0.018749885147880452,-0.45879261918231956,1.7811753092816762,-0.21739285293874927,-0.3416696151999968,0.10433017846070429,0.18990049125441857,0.07636844190413059,-0.047659219336887,-0.11225250902365613,0.025992394780679166,unconstrained_short
Target Return unconstrained_short,0.07053681863957971,0.0010480717389004302,0.03237393610453369,0.9999999999999997,2.6937561423293745,4.387512284658751,1.6937561423293752,0.07053681864348461,United SGD Fund B Acc SGD (220.43%); Infinity US 500 Stock Index SGD (23.30%); Amova Singapore Equity SGD (formerly Nikko AM) (12.88%),LionGlobal SGD Money Market A Acc SGD (-80.63%); AB FCP I Global High Yield A2 SGD-H (-42.20%); United High Grade Corporate Bond A Acc SGD (-26.69%),False,0.42103665335863666,,-0.0240530799426929,-0.8063296016013105,2.2043187438136393,-0.26686508655272945,-0.42196929477445266,0.12879056485803014,0.23302727052878305,0.0954809077927125,-0.05979988151523179,-0.13879227788565077,0.03213865533620964,unconstrained_short
Target Return unconstrained_short,0.08059009665120648,0.001472924801648694,0.038378702448737034,1.0000000000000002,3.1996550559275105,5.399310111855022,2.1996550559275105,0.08059009665090701,United SGD Fund B Acc SGD (261.76%); Infinity US 500 Stock Index SGD (27.74%); Amova Singapore Equity SGD (formerly Nikko AM) (15.32%),LionGlobal SGD Money Market A Acc SGD (-114.48%); AB FCP I Global High Yield A2 SGD-H (-50.09%); United High Grade Corporate Bond A Acc SGD (-31.68%),False,0.42106144367994053,,-0.029337731599135775,-1.144835308425156,2.617583404449953,-0.3168064856272453,-0.5008734516301293,0.15317270746438383,0.27743536624228043,0.11309494801704298,-0.07155168476094582,-0.16558812548403415,0.038368629753850594,unconstrained_short
Target Return unconstrained_short,0.09064337465990967,0.001970422676868138,0.04438944330432786,1.0000000000000002,3.7108210809715607,6.421642161943122,2.7108210809715607,0.09064337465832939,United SGD Fund B Acc SGD (303.60%); Infinity US 500 Stock Index SGD (32.11%); Amova Singapore Equity SGD (formerly Nikko AM) (17.76%),LionGlobal SGD Money Market A Acc SGD (-148.81%); AB FCP I Global High Yield A2 SGD-H (-58.05%); United High Grade Corporate Bond A Acc SGD (-36.65%),False,0.4211734875080364,,-0.0346049970013661,-1.488061974431299,3.035985719879145,-0.3664558435192809,-0.5805420778014594,0.17760574908282173,0.321135043675751,0.13153913404522843,-0.08351033998114855,-0.19225084523837266,0.04455543428861456,unconstrained_short
Target Return unconstrained_short,0.10069665267168662,0.002540559973760881,0.0504039678374717,1.0000000000000004,4.221583207547147,7.443166415094294,3.221583207547147,0.10069665266575178,United SGD Fund B Acc SGD (345.40%); Infinity US 500 Stock Index SGD (36.49%); Amova Singapore Equity SGD (formerly Nikko AM) (20.20%),LionGlobal SGD Money Market A Acc SGD (-183.09%); AB FCP I Global High Yield A2 SGD-H (-66.02%); United High Grade Corporate Bond A Acc SGD (-41.61%),False,0.4212608733008003,,-0.03985550837540974,-1.8309190805691242,3.4539866525165386,-0.41611845278954007,-0.6601683360135376,0.20203264838129312,0.3648630002514552,0.14995505683527685,-0.09545005115115457,-0.2189272870237905,0.05074584956258344,unconstrained_short
Target Return unconstrained_short,0.11074993068800973,0.0031833366538886465,0.056421065692599665,0.9999999999999993,4.732132820199361,8.464265640398722,3.7321328201993618,0.11074993067317418,United SGD Fund B Acc SGD (387.18%); Infinity US 500 Stock Index SGD (40.86%); Amova Singapore Equity SGD (formerly Nikko AM) (22.65%),LionGlobal SGD Money Market A Acc SGD (-217.36%); AB FCP I Global High Yield A2 SGD-H (-73.98%); United High Grade Corporate Bond A Acc SGD (-46.58%),False,0.4213269528606656,,-0.04508953877001176,-2.1735805624576168,3.871781998476168,-0.4658013392587103,-0.7397612733789833,0.2264534735957744,0.4086181234231389,0.16834125954360674,-0.10737891244033898,-0.24561073266371186,0.05693796516067279,unconstrained_short
Target Return unconstrained_short,0.12080320868467312,0.003898752889440887,0.0624399943100645,1.0000000000000002,5.2426846184925155,9.485369236985031,4.2426846184925155,0.12080320868059656,United SGD Fund B Acc SGD (428.96%); Infinity US 500 Stock Index SGD (45.24%); Amova Singapore Equity SGD (formerly Nikko AM) (25.09%),LionGlobal SGD Money Market A Acc SGD (-251.62%); AB FCP I Global High Yield A2 SGD-H (-81.94%); United High Grade Corporate Bond A Acc SGD (-51.55%),False,0.42138128237613376,,-0.05030668413426942,-2.5162429194452307,4.289578039979945,-0.5154822369879185,-0.8193572224361563,0.2508743593864547,0.45236898881673215,0.18673311131433468,-0.11930774393824553,-0.27229449568496406,0.06313011899504871,unconstrained_short
