scenario,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H
Growth Shock,0.0014216300733440046,-0.00022817203054814605,-0.012610471231429082,-0.035677014532987945,-0.03848428046542043,-0.0589151302871497,-0.06853554673804196,-0.05126311640014336,-0.05995866615171517,0.001755994191913644
Rates Up,0.0013548913652969656,-0.003287427733776891,-0.026189756191069464,-0.02801185706142866,-0.016120245375227427,-0.02425216905154769,-0.02434059997645353,-0.03795861933980698,-0.030321858287249055,-0.04087638642702146
Inflation Resurgence,0.0008557777877784556,-0.001561794142935798,-0.015336682912214128,-0.0009796920492250079,0.021212289487516616,0.0025399450770361063,-0.0025396660832630222,-0.010217996235475849,0.005954233055473435,0.10744480575340187
