portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return no_short,0.017343023812712563,9.308140624922041e-06,0.003050924552479468,1.0,1.0,1.0,0.0,0.017343023815134435,LionGlobal SGD Money Market A Acc SGD (99.91%); Amova Singapore Equity SGD (formerly Nikko AM) (0.08%); Schroder ISF Asian Opportunities A Acc SGD (0.01%),N/A,True,0.2505274615837413,,0.0,0.999100092184992,1.0842021724855044e-18,0.0,9.690056916589196e-19,0.0007965642466917492,2.168404344971009e-19,1.1519648082658485e-19,5.699883748361062e-05,4.634473083272016e-05,0.0,no_short
Target Return no_short,0.019087013299972335,2.410131238463991e-05,0.004909308748147738,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.019087013295345342,LionGlobal SGD Money Market A Acc SGD (71.55%); United SGD Fund B Acc SGD (28.45%); Infinity US 500 Stock Index SGD (0.00%),N/A,True,0.27276413451785086,,-0.004571761799977647,0.7154541585071326,0.28454261943478887,2.7755575615628914e-17,9.55254023355318e-18,6.083093281599566e-18,3.222058078715233e-06,9.55254023355318e-18,9.55254023355318e-18,9.55254023355318e-18,9.55254023355318e-18,no_short
Target Return no_short,0.02083100277553223,4.468820315273598e-05,0.006684923571196307,1.0,1.0,1.0,0.0,0.02083100277555625,LionGlobal SGD Money Market A Acc SGD (58.19%); United SGD Fund B Acc SGD (40.96%); Infinity US 500 Stock Index SGD (0.85%),N/A,True,0.28468704243603926,,-0.00857375480833833,0.5818999230840284,0.4095549991038233,0.0,2.4936649967166602e-18,0.0,0.008545077812148355,0.0,2.168404344971009e-19,0.0,7.555533889508359e-19,no_short
Target Return no_short,0.02257499225437435,6.439040824339665e-05,0.008024363416707685,1.0,1.0,1.0,0.0,0.02257499225576716,LionGlobal SGD Money Market A Acc SGD (54.14%); United SGD Fund B Acc SGD (43.53%); Infinity US 500 Stock Index SGD (1.92%),N/A,True,0.2912439923738551,,-0.011358938528995166,0.5413569224569222,0.4352609368040503,1.3523519087131371e-17,0.0,0.004225948229999466,0.019156192509028065,0.0,0.0,5.605455096198172e-18,4.0467280005676783e-19,no_short
Target Return no_short,0.024318981734452662,8.963617700779896e-05,0.00946763840711077,1.0,1.0,1.0,0.0,0.024318981735978067,LionGlobal SGD Money Market A Acc SGD (52.78%); United SGD Fund B Acc SGD (43.18%); Infinity US 500 Stock Index SGD (2.82%),N/A,True,0.29700046598598906,,-0.013291347428987965,0.5278415751482136,0.4318127808718526,0.0,0.0,0.012054924728418634,0.028241645274699072,3.2526065174565133e-19,3.198396408832238e-18,1.431146867680866e-17,4.907397681617311e-05,no_short
Target Return no_short,0.026062971216257,0.00012306788894897704,0.011093596754388408,1.0,1.0,1.0,0.0,0.026062971216188974,LionGlobal SGD Money Market A Acc SGD (51.57%); United SGD Fund B Acc SGD (42.76%); Infinity US 500 Stock Index SGD (3.67%),N/A,True,0.3044268915735596,,-0.016221067635745934,0.5157265644191906,0.42764342614330325,3.407952359982952e-17,0.0,0.017891276752208907,0.03673593719369019,7.868092948486176e-19,8.690558038829121e-19,1.4542712572850062e-18,0.002002795491607071,no_short
Target Return no_short,0.02780696069641636,0.0001646231942899743,0.012830557052987773,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.02780696069639988,LionGlobal SGD Money Market A Acc SGD (50.37%); United SGD Fund B Acc SGD (42.33%); Infinity US 500 Stock Index SGD (4.51%),N/A,True,0.3117235646072902,,-0.019199566218474517,0.5036775866754477,0.42327969893577067,8.99544237296875e-17,0.0,0.024230679045957004,0.04507623830963657,4.341043854678289e-18,0.0,8.622795403048777e-19,0.003735797033187843,no_short
Target Return no_short,0.02955095017633571,0.00021424863721762502,0.014637234616471276,1.0,1.0,1.0,0.0,0.029550950176610788,LionGlobal SGD Money Market A Acc SGD (49.24%); United SGD Fund B Acc SGD (41.80%); Infinity US 500 Stock Index SGD (5.35%),N/A,True,0.3188545140781402,,-0.02218939305775025,0.4924270822868957,0.4180217448672834,0.0,2.482822974991805e-17,0.030689151145626828,0.053509673438703734,3.301395615218361e-17,0.0,0.0,0.005352348261490424,no_short
Target Return no_short,0.03129493965762535,0.0002720304020458157,0.016493344174115073,1.0,1.0,1.0,0.0,0.031294939656821695,LionGlobal SGD Money Market A Acc SGD (48.10%); United SGD Fund B Acc SGD (41.30%); Infinity US 500 Stock Index SGD (6.18%),N/A,True,0.3261106720270872,,-0.025695751921407495,0.4809748456803154,0.4129974482132831,2.9002408113987244e-17,0.0,0.03716994863825935,0.06180449753044585,6.061367770551773e-18,0.0,2.0166160408230382e-17,0.0070532599376963165,no_short
Target Return no_short,0.033038929136107606,0.00033794397192057413,0.01838325248481819,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.0330389291370326,LionGlobal SGD Money Market A Acc SGD (46.96%); United SGD Fund B Acc SGD (40.78%); Infinity US 500 Stock Index SGD (7.00%),N/A,True,0.3333511902840456,,-0.02922005988050791,0.46964090178761064,0.4078158652586144,9.324138683375338e-18,0.0,0.0438063538760534,0.07002554862059021,4.3807323795186056e-18,0.0,3.482648463562718e-17,0.008711330457131218,no_short
