construct,question_count,raw_weight_sum,normalized_score,target_volatility,volatility_band,interpretation
preference,7,0.75,2.7733333333333334,0.09911111111111112,4%-14%,Subjective risk appetite and tolerance for market losses.
capacity,3,0.25,3.0000000000000004,0.10666666666666669,4%-14%,"Objective capacity to bear risk given income, assets, and financial resilience."
