regime,long_cap,short_cap,gross_cap,expected_return,volatility,max_drawdown,utility,utility_after_3pct_borrow_cost,weighted_long_fee_pct,gross_exposure,short_exposure,top_long_positions,top_short_positions,respects_regime_bounds
conservative,0.3,0.15,1.2,0.13293235619586072,0.13396738967779775,-0.21761701250682164,0.10002904345120872,0.0970290433669388,1.0613621197156868,1.2000000056179947,0.1000000028089973,Fidelity World A-ACC-SGD (30.00%); Infinity US 500 Stock Index SGD (30.00%); Amova Singapore Equity SGD (formerly Nikko AM) (30.00%),First Sentier Global Property Securities A Acc SGD (-10.00%); AB FCP I Global High Yield A2 SGD-H (-0.00%),True
baseline,0.35,0.2,1.4,0.14309039879827917,0.1363717930373005,-0.22441008347324876,0.10899541124856392,0.10299541137583156,1.0243172619060517,1.399999991515492,0.19999999575774585,Amova Singapore Equity SGD (formerly Nikko AM) (35.00%); Infinity US 500 Stock Index SGD (35.00%); Fidelity World A-ACC-SGD (29.83%),First Sentier Global Property Securities A Acc SGD (-20.00%); AB FCP I Global High Yield A2 SGD-H (-0.00%),True
liberal,0.4,0.25,1.6,0.15283620490214603,0.14041665749827356,-0.22888867229512655,0.11668866911333567,0.10768866908585117,0.9937562877356989,1.6000000018322995,0.30000000091614976,Infinity US 500 Stock Index SGD (40.00%); Amova Singapore Equity SGD (formerly Nikko AM) (40.00%); Fidelity World A-ACC-SGD (29.25%),First Sentier Global Property Securities A Acc SGD (-25.00%); AB FCP I Global High Yield A2 SGD-H (-5.00%); United High Grade Corporate Bond A Acc SGD (-0.00%),True
