scenario,target_A,selected_A,expected_return,volatility,utility,weighted_long_fee_pct
A - 10%,3.3,3.3,0.12929841342854034,0.13159297100349285,0.10072584189962226,0.7272462962402834
Calibrated A,3.67,3.67,0.12848101166982945,0.1297886653704549,0.09757025746621786,0.7232701931712492
A + 10%,4.03,4.03,0.1278279881234181,0.1284695868010306,0.09457155213677063,0.7202932875574949
